cluster_id,region,n_reservoirs,reservoir_ids,depot_lat,depot_lon,countries,annual_void_m3,annual_void_mm3,annual_revenue_usd,transport_cost_usd,annual_capex_usd,net_annual_value_usd,payback_years,mean_depot_distance_km,fill_correlation,viable,rank
13,SE Asia,395,"1716,1758,1763,1831,1833,4753,4758,4801,4817,4824,4899,4913,4935,4939,4949,4954,4956,4979,4983,4987,5024,5033,5055,5067,5080,6502,6508,6509,6518,6532,6547,6552,6553,6556,6563,6564,6992,9316,9319,9321,9322,9324,9325,9342,9391,9529,9554,9558,9589,9595,9614,9632,9691,9705,9707,9712,9715,9719,9721,9728,9745,9751,9754,9758,9762,9778,9782,9787,9800,9801,9802,9805,9810,9811,9821,9823,9828,9832,9834,9840,9846,9848,9884,9907,9920,9926,9927,9928,9937,10004,10012,10017,10024,10028,10032,10037,10054,10060,10067,10105,10109,10123,17651,17727,17730,17735,17739,17747,17748,17753,17763,17764,17765,17783,17786,17799,17810,17833,17875,17916,17937,17950,17978,17985,17991,18124,18209,18248,18299,18301,18449,18460,18464,18495,18618,18642,18683,18712,18739,18797,18801,18893,18963,19081,19153,19161,19179,19214,19222,19227,19232,19235,19238,19252,19259,19260,19261,19358,19405,19439,19441,19527,19532,19731,19739,19744,19756,19766,19801,19807,19824,19840,19841,19842,19844,19846,19860,19863,19866,19874,19876,19896,19899,19901,19925,19926,19938,19939,19940,19943,19948,19949,19953,19958,19962,19963,19964,19965,19966,19967,19968,19970,19971,19978,19981,19982,20005,20006,20019,20026,20030,20031,20032,20034,20036,20037,20039,20040,20051,20054,20058,20059,20065,20067,20070,20081,20089,20113,20120,20122,20123,20130,20134,20143,20145,20150,20155,20157,20158,20160,20175,20216,20221,20224,20227,20229,20232,20233,20241,20242,20243,20245,20262,20263,20305,20307,20312,20313,20314,20318,20321,20327,20341,20342,20345,20351,20353,20354,20369,20374,20385,20387,20394,20404,20408,20412,20419,20428,20430,20432,20434,20435,20437,20442,20451,20458,20461,20474,20475,20493,20495,20500,20502,20504,20512,20525,20526,20542,20592,20611,20620,20640,20655,20665,20670,20693,20703,20734,20735,20739,20744,20840,20841,20877,20886,20891,20906,21147,21159,21178,21182,21185,21208,21263,21264,21290,21301,21302,21309,21315,21318,21320,21461,21467,21490,21503,21592,21615,21635,21680,21683,21695,21706,21710,21712,21724,21727,21729,26742,26750,26804,26894,26895,26897,26899,26900,26901,26942,26944,27008,27010,27139,27165,28379,28380,28388,28394,28395,28396,28397,28398,30903,31111,31113,31137,31138,31139,31140,31141,31144,31145,31147,31148,32655,32668,32669,32671,32672,32673,32687,32688,32689,39067,39201,39204",22.2414,112.8594,"China,Vietnam",7638523977.0,7638.524,3819261980.0,2706454.0,500000.0,3816055526.0,0.0,472.42,0.2392,True,1
7,Med / Middle East,70,"1466,1467,1547,3973,4016,4103,4181,4262,4396,4406,4438,4551,5960,6018,6021,6032,6308,6332,6334,7021,7023,7048,7054,7364,8871,8879,8882,8883,8889,8944,8968,16076,16095,16112,16122,16132,16135,16136,16138,16156,16184,16185,16197,16203,16206,16240,16386,16396,16502,16520,16576,27541,27542,27559,27637,27778,27913,27918,27920,28619,31834,32045,32049,32050,32074,35071,35076,37189,37192,37198",40.064,29.5707,"Turkey,Bulgaria,Cyprus,Greece,Northern Cyprus",3639925046.0,3639.925,1819962528.0,755215.0,500000.0,1818707313.0,0.0,276.64,0.0,True,2
1,E Asia,270,"303,3891,3917,3979,3994,3996,3997,4150,4164,4286,4299,4302,4305,4518,4545,4548,4565,4568,4569,4570,4572,4574,4575,4576,4579,4581,4582,4584,4591,4593,4594,4600,4601,4606,5886,5890,5891,5892,5914,5921,5924,5934,5958,5974,5977,5979,5984,5985,5987,5994,5996,6009,6011,6013,6014,6015,6031,6039,6041,6045,6047,6050,6059,6076,6088,6091,6111,6115,6118,6121,6127,6133,6138,6146,6151,6153,6160,6174,6176,6192,6196,6211,6224,6243,6255,6256,6267,6268,6269,6271,6275,6282,6292,6294,6296,6299,6310,6312,6314,6317,6320,6324,6325,6326,6327,6329,6330,6333,6335,6342,6343,6344,6348,6349,6352,6354,6356,6357,6358,6360,6361,6362,6365,6367,6368,6369,6372,6373,6374,6375,6376,6377,6378,6379,6380,6381,6382,6383,6385,6386,6387,6388,6389,6390,6391,6392,6393,6394,6396,6397,6398,6399,6400,6401,6402,6404,6407,6408,6409,6411,6412,6413,6415,6417,6420,6422,6424,6425,6428,6429,6430,6431,6432,6433,6434,6435,6437,6441,6443,6444,6453,6456,6458,6461,6462,6469,7288,7289,7290,7291,7292,7293,7294,7295,7296,7304,16381,16442,16505,16507,16539,16634,16682,16703,27444,27447,27521,27523,27558,27623,27629,27647,27658,27687,27692,27758,27938,27956,27991,27995,28001,28022,28027,28051,31739,31740,31741,31742,31744,31745,31746,31747,31748,31749,31750,31751,31752,31754,31755,31756,31763,31775,31841,31842,31843,31844,31845,31847,31858,31860,31861,31867,31872,31874,31875,31878,32067,32094,32175,34430,36244,36246,36248,36357,36359,36360,36361,36368,36432,36433",34.9123,135.4375,Japan,3258813385.0,3258.813,1629406689.0,1107065.0,500000.0,1627799624.0,0.0,452.95,0.0,True,3
9,E Asia,131,"1508,1544,1606,4199,4208,4244,4257,4274,4276,4315,4319,4326,4381,4421,4440,4451,4520,4539,6027,6051,6067,6089,6108,6117,6156,6167,6169,6212,6225,6261,6339,6346,6355,6972,8878,8914,8916,8921,8929,8934,8952,8954,8964,8969,8970,8972,8973,9003,9045,9059,9067,9071,9072,9075,9082,9084,9085,9089,9093,9094,16123,16154,16222,16223,16231,16234,16236,16252,16258,16291,16298,16303,16312,16374,16389,16391,16392,16402,16403,16404,16405,16406,16407,16414,16415,16421,16422,16423,16424,16425,16427,16429,16435,16444,16451,16461,16475,16496,16503,16519,16528,16532,16545,16546,16563,16572,16586,16596,16612,16638,16640,16654,16656,16658,16660,16662,16663,16666,16668,16669,16673,27733,27743,27757,27777,27903,31774,34559,34566,36428,36439",37.9659,126.2327,"North Korea,South Korea,China",2930095819.0,2930.096,1465047912.0,493845.0,500000.0,1464054067.0,0.0,224.72,0.0,True,4
44,SE Asia,118,"7136,7654,7655,7661,10043,10044,10055,10126,10144,10148,10164,10168,10174,10189,10213,10215,10216,10217,10220,10224,10229,10231,10236,10254,10263,10277,21356,21367,21385,21400,21404,21408,21428,21443,21723,21733,21736,21780,21785,21806,21812,21813,21859,21864,21866,21878,21882,21883,21886,21887,21888,21892,21893,21894,21899,21901,21902,21904,21907,21984,21987,21988,21995,21999,22001,22003,22004,22020,22079,22083,22084,22090,22092,22099,22107,22112,22114,22119,22121,22122,22128,22129,22174,22176,22179,22203,22222,26090,26093,26140,26272,26451,26453,28400,28401,28402,28403,28404,28405,28408,28409,30785,30786,30787,30788,30864,30872,32644,32645,32646,32647,32648,32649,32650,32651,32652,32653,32654",17.109,106.9021,Vietnam,2558681573.0,2558.682,1279340787.0,269378.0,500000.0,1278571409.0,0.0,140.37,0.2681,True,5
3,E USA,69,"620,628,630,639,644,646,657,660,668,2352,2389,2413,2415,2466,2603,2610,2612,2613,2628,2643,2651,2671,2747,2766,2811,2891,2899,2977,2987,3023,5586,5593,5600,7806,7841,7843,7845,7880,7911,7923,10929,11023,11026,11031,11092,11097,11102,11112,11115,11116,11118,11122,11129,11144,11158,11228,11267,11397,11414,11430,11441,27742,27941,27955,32216,35835,35836,35837,35838",42.7708,-70.9677,"United States,Canada",1750906681.0,1750.907,875453341.0,507102.0,500000.0,874446239.0,0.0,386.16,0.0,True,6
19,E USA,54,"2929,2939,2940,2954,2970,2973,2975,3073,3135,3147,3212,3226,3232,3244,5638,5640,5643,5645,5658,5675,5676,5677,11470,11494,11509,11541,11629,11707,11763,11766,11770,11848,11876,11881,27474,27476,27501,31643,31671,31672,31759,31760,31761,31762,31804,31807,31833,31856,31877,31901,31929,31932,32828,37531",34.6597,-119.7599,"United States,Mexico",1350092049.0,1350.092,675046028.0,256226.0,500000.0,674289802.0,0.0,253.05,0.0,True,7
10,Med / Middle East,15,"1531,1535,4070,16084,16098,16103,16106,16124,16161,16172,16257,32020,32151,35172,37294",38.7995,21.3747,"Greece,Albania,Italy,Bosnia and Herzegovina",1323505391.0,1323.505,661752696.0,78722.0,500000.0,661173974.0,0.0,79.31,0.0,True,8
25,W Europe,29,"4318,4367,4403,4404,4428,4443,4445,4497,4498,4537,6042,6074,6079,6155,6208,6250,6262,6290,7232,16108,16113,16115,16527,16568,16659,31793,32083,37316,37329",36.8694,-3.4889,"Spain,Morocco",1245402430.0,1245.402,622701215.0,159705.0,500000.0,622041510.0,0.0,170.98,0.0,True,9
43,Caribbean,27,"6905,7468,8116,8118,8121,8127,8128,8146,8169,8171,12295,12296,12297,12299,12304,12307,12327,12393,12396,12398,12408,12410,12414,12415,12425,12426,26657",20.5553,-75.6559,Cuba,1053041345.0,1053.041,526520674.0,35833.0,500000.0,525984841.0,0.0,45.37,0.6899,True,10
